7	360000	970000
17	82550000	83200000
16	57500000	57720000
19	6180000	6770000
9	129150000	129560000
12	124300000	125110000
20	61950000	62340000
21	30290000	31180000
16	88490000	88890000
19	44960000	45050000
9	136020000	137010000
11	64190000	64650000
19	4200000	4530000
16	85550000	85640000
12	6180000	6400000
14	41570000	42020000
21	45520000	46510000
1	30620000	30960000
5	176340000	176870000
1	2300000	2560000
6	100910000	101140000
22	36700000	37580000
16	1360000	1550000
19	18370000	19130000
19	40140000	40760000
19	47490000	47670000
20	63420000	63620000
7	114270000	114680000
1	24680000	25200000
14	40200000	40640000
22	20720000	20950000
11	31100000	31340000
2	238950000	239850000
11	63730000	64160000
4	3180000	3520000
2	9920000	10630000
5	1310000	1550000
1	1810000	2280000
7	2400000	2710000
17	74270000	74950000
18	79650000	79950000
20	63660000	64230000
8	142750000	143550000
11	2270000	2570000
9	103440000	104360000
13	112480000	113390000
17	17610000	17950000
2	232880000	233400000
19	29410000	29810000
17	80700000	81290000
8	143900000	144310000
1	31210000	31930000
19	55200000	55720000
2	237850000	238510000
12	132390000	132580000
19	3510000	4030000
11	520000	720000
19	5590000	5950000
2	155390000	156250000
1	73700000	74430000
4	6540000	6830000
7	103820000	104050000
11	1450000	1660000
3	51910000	52540000
2	204230000	204820000
8	78910000	79100000
19	35370000	36050000
2	188520000	189180000
22	26410000	27030000
3	131390000	132080000
12	116490000	117180000
19	16120000	16890000
16	290000	590000
1	14910000	15860000
19	2320000	2680000
10	131880000	132620000
3	177220000	177370000
11	740000	1010000
19	38150000	38740000
7	70670000	70700000
6	33760000	34570000
5	103310000	103740000
17	80050000	80370000
5	139530000	140100000
19	9620000	10140000
7	150910000	151840000
14	40840000	41170000
6	126130000	126470000
22	49560000	49830000
16	57090000	57460000
13	108680000	108860000
15	69660000	70620000
11	114180000	114260000
19	7470000	8250000
11	4980000	5200000
2	241810000	241990000
17	44870000	45170000
21	44280000	44460000
2	62030000	62410000
2	28440000	28800000
9	126280000	126890000
6	97310000	97610000
17	2620000	3030000
15	31150000	31330000
13	38490000	38990000
17	27410000	27660000
11	65590000	65660000
7	1410000	1650000
20	32360000	33160000
10	105870000	106150000
4	1170000	1370000
9	113430000	113580000
11	76130000	76350000
5	172330000	173330000
17	57510000	58110000
12	82910000	83470000
20	49130000	50100000
20	48610000	48800000
2	186580000	187330000
3	104170000	104760000
19	10650000	11010000
17	81810000	82000000
16	89530000	89720000
7	44710000	44970000
1	10470000	10700000
22	30320000	30750000
13	39140000	39620000
21	44810000	45270000
1	41200000	41860000
17	28860000	29190000
22	37790000	38360000
2	146630000	146770000
17	78720000	79710000
19	2040000	2240000
12	48620000	48830000
18	32420000	32880000
14	63530000	63630000
12	90740000	91330000
1	9200000	9540000
5	92920000	93110000
22	42140000	42500000
6	37390000	38240000
20	62560000	63400000
19	13390000	13940000
10	11960000	12940000
19	1570000	1980000
20	35740000	36460000
1	155820000	156180000
17	75320000	75760000
19	560000	830000
12	120580000	121460000
13	97230000	97330000
16	66550000	67490000
6	68560000	69400000
4	78840000	79390000
4	36480000	36770000
15	74270000	75260000
20	43920000	44020000
16	3820000	4700000
3	97300000	97690000
12	119540000	120260000
1	22030000	22900000
21	24390000	25210000
6	43540000	44280000
3	46800000	47010000
3	6950000	7670000
4	123390000	123520000
14	104710000	104880000
9	124200000	124430000
12	111120000	111720000
2	210380000	210860000
7	70260000	70370000
11	61250000	62020000
4	20350000	20620000
11	45730000	45960000
5	130090000	130510000
2	114180000	114930000
19	51070000	51610000
3	49230000	49540000
7	49860000	50050000
12	83690000	84040000
1	240210000	240570000
11	68000000	68540000
5	10250000	10770000
11	66890000	67340000
9	137190000	137520000
19	1390000	1420000
14	32570000	32790000
14	41360000	41560000
6	14550000	14880000
7	73350000	73660000
14	103280000	103880000
1	219240000	219490000
4	83590000	83940000
4	164420000	164540000
3	12850000	12930000
19	15340000	15480000
6	67950000	68230000
19	49740000	49880000
9	35520000	35930000
5	92410000	92710000
16	30790000	31100000
19	48320000	48790000
1	185820000	186140000
11	75210000	75610000
16	81430000	81700000
9	127670000	127890000
16	84750000	85310000
22	35240000	35470000
2	241160000	241360000
8	21980000	22480000
1	54190000	54290000
17	81400000	81750000
3	129520000	129620000
4	90650000	90690000
1	230040000	230230000
19	14070000	14190000
7	6140000	6490000
1	3580000	3970000
10	81130000	81470000
21	28340000	28500000
13	26870000	27370000
6	93200000	93400000
19	1190000	1340000
5	177420000	177580000
11	105240000	105960000
19	38830000	39230000
2	137820000	138400000
17	1450000	1570000
3	165060000	165170000
1	162960000	163260000
16	83800000	84570000
12	23840000	24390000
1	42740000	43050000
1	170750000	171240000
1	176690000	176730000
5	171350000	171990000
19	8500000	8740000
7	1880000	2260000
7	11020000	12020000
3	12940000	13680000
4	2300000	2780000
1	19450000	20050000
17	49160000	49670000
19	18140000	18230000
1	228040000	228420000
10	102430000	103190000
3	62230000	62600000
1	37710000	37910000
7	88590000	89150000
14	58730000	59150000
4	108940000	109060000
18	71390000	71700000
1	194990000	195130000
20	2850000	3510000
4	27550000	27720000
7	75790000	76070000
7	33790000	34150000
22	46490000	47030000
2	57740000	57890000
4	114490000	115080000
4	177260000	178110000
2	121570000	121700000
3	9560000	9890000
22	46140000	46460000
11	126240000	126480000
1	23700000	24430000
11	90480000	90800000
5	83860000	84050000
1	5980000	6160000
6	85410000	85490000
4	147170000	147350000
1	201810000	202330000
1	79660000	79900000
9	30790000	30920000
2	205350000	205590000
6	123060000	123330000
7	157290000	157380000
3	51530000	51690000
11	310000	400000
11	47330000	47730000
19	19420000	19590000
8	77050000	77630000
9	37300000	37700000
1	156660000	156930000
10	96770000	97390000
17	47610000	47960000
3	186290000	186850000
2	131000000	131160000
1	236460000	236510000
8	140950000	141440000
11	68650000	69330000
22	40920000	41280000
2	218740000	219600000
2	8520000	8680000
