5	68050000	68070000	224.6400	0.0128	0.0000
12	39930000	40120000	219.7000	0.0560	0.0000
15	68820000	69020000	219.4400	0.2175	0.0000
6	70340000	70550000	218.2800	0.0529	0.0000
4	42050000	42130000	217.7800	0.0449	0.0000
1	163300000	163370000	217.5200	0.0485	0.0000
1	97290000	97670000	217.4000	0.0581	0.0000
2	163690000	163900000	217.2800	0.1137	0.0000
2	4790000	4820000	216.9600	0.0202	0.0000
10	48800000	48960000	216.6800	0.0423	0.0000
20	16290000	16300000	216.3800	0.0062	0.0000
11	81850000	81890000	216.1600	0.0377	0.0000
6	87800000	87870000	216.1000	0.0251	0.0000
7	144430000	145130000	216.0600	0.1701	0.0000
11	81150000	81370000	215.9400	0.0603	0.0000
4	101820000	101830000	215.7600	0.0090	0.0000
9	111650000	111830000	215.7000	0.0246	0.0000
1	183170000	183180000	215.1800	0.0080	0.0000
15	57120000	57150000	215.1000	0.0210	0.0000
5	116040000	116210000	214.8800	0.0808	0.0000
1	96770000	96850000	214.8000	0.0220	0.0000
9	135100000	135190000	214.7800	0.1007	0.0000
4	35990000	36090000	214.7600	0.0654	0.0000
2	8880000	8890000	214.7200	0.0133	0.0000
11	94410000	94530000	214.6800	0.0597	0.0000
8	52360000	52470000	214.5200	0.0628	0.0000
8	46240000	46280000	214.5200	0.0280	0.0000
18	54230000	54290000	214.2200	0.0136	0.0000
13	67040000	67090000	214.1200	0.0268	0.0000
2	191370000	191570000	214.0800	0.0946	0.0000
2	214710000	214740000	214.0200	0.0405	0.0000
4	64100000	64210000	213.9800	0.0442	0.0000
15	73030000	73050000	213.8400	0.0140	0.0000
13	53410000	53440000	213.7200	0.0169	0.0000
2	195870000	195910000	213.6400	0.0324	0.0000
19	58080000	58090000	213.6400	0.0190	0.0000
3	101890000	101930000	213.6200	0.0183	0.0000
14	79130000	79150000	213.3400	0.0284	0.0000
13	28490000	28520000	213.3000	0.0214	0.0000
4	30150000	30170000	213.2600	0.0118	0.0000
16	52360000	52420000	213.2000	0.0466	0.0000
3	178210000	178470000	213.1800	0.0579	0.0000
3	131020000	131190000	213.1600	0.0867	0.0000
8	79090000	79140000	213.0800	0.0257	0.0000
13	91750000	91900000	213.0200	0.0282	0.0000
1	212480000	212570000	213.0200	0.0168	0.0000
6	141530000	141610000	212.9600	0.0329	0.0000
11	104180000	105060000	212.9400	0.1394	0.0000
2	79770000	79860000	212.9400	0.0545	0.0000
4	134160000	134190000	212.9000	0.0217	0.0000
12	123610000	123620000	212.9000	0.0100	0.0000
16	6480000	6840000	212.8600	0.1934	0.0000
5	81270000	81280000	212.8600	0.0192	0.0000
5	164690000	164740000	212.7400	0.0389	0.0000
2	160490000	160730000	212.6400	0.0610	0.0000
10	36590000	36670000	212.6400	0.0276	0.0000
6	129910000	129950000	212.5600	0.0244	0.0000
5	165140000	165160000	212.4200	0.0168	0.0000
13	94570000	94800000	212.4000	0.1550	0.0000
1	198340000	198440000	212.4000	0.0646	0.0000
11	38380000	38390000	212.3200	0.0063	0.0000
11	30840000	30900000	212.2200	0.0359	0.0000
7	49000000	49020000	212.2000	0.0527	0.0000
5	164050000	164220000	212.1800	0.0279	0.0000
5	64720000	64980000	212.1400	0.1664	0.0000
18	38910000	38950000	212.1200	0.0512	0.0000
8	112160000	112190000	212.1000	0.0383	0.0000
1	161870000	162030000	212.0800	0.0468	0.0000
13	64410000	64590000	212.0400	0.0687	0.0000
2	236950000	237100000	212.0400	0.0212	0.0000
5	77550000	77800000	211.9800	0.0917	0.0000
3	181830000	181940000	211.9800	0.0670	0.0000
6	131440000	131490000	211.9800	0.0284	0.0000
3	184470000	184480000	211.9400	0.0598	0.0000
17	79130000	79150000	211.9400	0.0229	0.0000
7	96700000	96750000	211.9400	0.0186	0.0000
11	105150000	105230000	211.9200	0.0232	0.0000
11	42450000	42560000	211.9000	0.0338	0.0000
3	73350000	73480000	211.8600	0.0306	0.0000
15	42200000	42220000	211.8600	0.0296	0.0000
14	27610000	27670000	211.8400	0.0243	0.0000
1	227030000	227090000	211.8000	0.0356	0.0000
5	3810000	4000000	211.7800	0.0567	0.0000
3	123670000	123730000	211.7800	0.0359	0.0000
10	78290000	78360000	211.7600	0.0297	0.0000
7	31430000	31460000	211.7600	0.0229	0.0000
14	51960000	52230000	211.7400	0.0769	0.0000
2	151360000	151390000	211.7200	0.0127	0.0000
11	22740000	22750000	211.7000	0.0146	0.0000
2	50030000	50100000	211.6600	0.0329	0.0000
11	88330000	88560000	211.6000	0.0678	0.0000
13	41860000	41970000	211.6000	0.0361	0.0000
3	129690000	129740000	211.5800	0.0241	0.0000
9	107920000	107990000	211.5600	0.0843	0.0000
6	90470000	90540000	211.5600	0.0343	0.0000
12	28090000	28260000	211.5000	0.0670	0.0000
5	108090000	108310000	211.4600	0.0677	0.0000
3	182390000	182410000	211.4600	0.0153	0.0000
18	69310000	70200000	211.4400	0.2592	0.0000
14	29100000	29250000	211.4400	0.0699	0.0000
1	193370000	193460000	211.4200	0.0809	0.0000
10	70710000	70800000	211.4200	0.0576	0.0000
11	131500000	131810000	211.4000	0.1015	0.0000
12	91280000	91810000	211.3800	0.1396	0.0000
16	19980000	20040000	211.3800	0.0147	0.0000
9	124440000	124480000	211.3200	0.0231	0.0000
1	179200000	179420000	211.2800	0.0535	0.0000
10	35710000	35810000	211.2800	0.0456	0.0000
10	65600000	65800000	211.2800	0.0310	0.0000
6	87620000	87650000	211.2600	0.0118	0.0000
11	100320000	100340000	211.2200	0.0131	0.0000
2	2620000	2670000	211.2000	0.0596	0.0000
19	680000	850000	211.2000	0.0562	0.0000
16	76230000	76310000	211.2000	0.0280	0.0000
9	84090000	84170000	211.1800	0.0421	0.0000
14	76020000	76030000	211.1800	0.0185	0.0000
7	53900000	53920000	211.1800	0.0170	0.0000
21	20670000	20930000	211.1400	0.0809	0.0000
14	50430000	50600000	211.1000	0.1635	0.0000
6	109910000	109920000	211.1000	0.0107	0.0000
16	13090000	13180000	211.0800	0.0205	0.0000
8	28240000	28990000	211.0600	0.0390	0.0000
9	14210000	14270000	211.0600	0.0286	0.0000
17	16190000	16210000	211.0400	0.0786	0.0000
8	114180000	114390000	211.0200	0.0426	0.0000
3	55520000	55580000	211.0200	0.0182	0.0000
17	68140000	68180000	211.0000	0.0246	0.0000
2	32490000	32550000	210.9800	0.0639	0.0000
3	156890000	157050000	210.9800	0.0327	0.0000
3	28170000	28810000	210.9200	0.1538	0.0000
11	101430000	101530000	210.9200	0.0412	0.0000
13	110060000	110160000	210.9000	0.0571	0.0000
15	25140000	25150000	210.9000	0.0126	0.0000
19	16660000	16760000	210.8800	0.0633	0.0000
6	34100000	34120000	210.8800	0.0100	0.0000
1	243830000	244040000	210.8400	0.0364	0.0000
10	63540000	63670000	210.8400	0.0217	0.0000
13	58710000	58780000	210.8400	0.0102	0.0000
3	115140000	115240000	210.8200	0.0262	0.0000
12	115380000	116100000	210.8000	0.0821	0.0000
14	47340000	47390000	210.8000	0.0348	0.0000
21	23020000	23040000	210.7800	0.0172	0.0000
3	159140000	159160000	210.7600	0.0156	0.0000
8	143220000	143370000	210.7400	0.0717	0.0000
2	239920000	239950000	210.7400	0.0290	0.0000
3	99840000	100330000	210.7200	0.1229	0.0000
11	40540000	40820000	210.7000	0.1224	0.0000
15	34100000	34300000	210.7000	0.0572	0.0000
4	88610000	88740000	210.6600	0.0402	0.0000
7	41070000	41360000	210.6400	0.1376	0.0000
18	26430000	26470000	210.6200	0.0145	0.0000
13	101510000	101650000	210.5800	0.2844	0.0000
6	67100000	67160000	210.5800	0.0394	0.0000
7	154780000	154810000	210.5800	0.0272	0.0000
8	95020000	95040000	210.5800	0.0208	0.0000
9	9030000	9120000	210.5600	0.0331	0.0000
11	80530000	80570000	210.5600	0.0153	0.0000
6	137130000	137500000	210.5400	0.1384	0.0000
1	47790000	47840000	210.5400	0.0226	0.0000
1	241500000	241710000	210.5200	0.2326	0.0000
20	7410000	7560000	210.5200	0.0480	0.0000
2	7690000	7720000	210.4800	0.0130	0.0000
5	125370000	125380000	210.4800	0.0063	0.0000
6	62220000	62230000	210.4800	0.0040	0.0000
6	76450000	76470000	210.4600	0.0153	0.0000
10	33720000	33860000	210.4400	0.0523	0.0000
5	56570000	56580000	210.4400	0.0120	0.0000
12	109500000	109700000	210.4200	0.0191	0.0000
2	137770000	137830000	210.4000	0.0362	0.0000
10	86740000	86940000	210.3800	0.0803	0.0000
6	20570000	20690000	210.3800	0.0552	0.0000
4	78750000	78860000	210.3800	0.0284	0.0000
19	7930000	7960000	210.3600	0.0152	0.0000
8	41100000	41150000	210.3400	0.0233	0.0000
3	132400000	132440000	210.3200	0.0356	0.0000
6	128270000	128330000	210.3000	0.0317	0.0000
22	25970000	25980000	210.3000	0.0056	0.0000
22	43020000	43140000	210.2800	0.0293	0.0000
10	76900000	76950000	210.2800	0.0289	0.0000
6	135900000	135920000	210.2800	0.0194	0.0000
1	66790000	66910000	210.2600	0.0522	0.0000
21	16740000	16880000	210.2200	0.0754	0.0000
2	174740000	175130000	210.2000	0.1475	0.0000
2	173990000	174090000	210.2000	0.0618	0.0000
2	115640000	115750000	210.2000	0.0537	0.0000
2	141680000	142250000	210.2000	0.0366	0.0000
6	159790000	159960000	210.1800	0.0716	0.0000
20	62110000	62430000	210.1800	0.0643	0.0000
6	130270000	130420000	210.1400	0.0302	0.0000
7	68800000	68840000	210.1400	0.0186	0.0000
17	70760000	70810000	210.1200	0.0273	0.0000
3	127050000	127130000	210.1000	0.0661	0.0000
7	86540000	86660000	210.1000	0.0287	0.0000
7	67960000	68010000	210.1000	0.0078	0.0000
3	94430000	94500000	210.0800	0.0391	0.0000
16	20360000	20380000	210.0800	0.0344	0.0000
7	98780000	98800000	210.0800	0.0271	0.0000
3	192190000	192270000	210.0800	0.0229	0.0000
3	44970000	44980000	210.0800	0.0135	0.0000
14	35620000	36070000	210.0600	0.1288	0.0000
6	80220000	80270000	210.0600	0.0228	0.0000
12	39340000	39430000	210.0400	0.0500	0.0000
5	520000	530000	210.0400	0.0091	0.0000
20	15630000	15910000	210.0200	0.1543	0.0000
6	400000	440000	210.0200	0.0108	0.0000
11	90110000	90280000	210.0000	0.0707	0.0000
3	88420000	88470000	209.9800	0.0206	0.0000
9	9950000	9960000	209.9800	0.0086	0.0000
2	134370000	134410000	209.9600	0.0605	0.0000
1	239880000	240180000	209.9600	0.0491	0.0000
5	72230000	72270000	209.9600	0.0272	0.0000
14	38650000	38660000	209.9600	0.0131	0.0000
22	48600000	48690000	209.9400	0.0301	0.0000
4	161300000	161340000	209.9400	0.0289	0.0000
7	12950000	12990000	209.9200	0.0402	0.0000
2	62730000	62840000	209.9000	0.0638	0.0000
3	2170000	2220000	209.9000	0.0292	0.0000
2	240770000	240820000	209.8800	0.0342	0.0000
3	99590000	99630000	209.8600	0.0225	0.0000
3	65180000	65220000	209.8600	0.0147	0.0000
21	18600000	18840000	209.8400	0.1037	0.0000
7	17090000	17200000	209.8400	0.0620	0.0000
