seqID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50
GLRGC0384,-28.04874826180412,0.7044359429067396,-5.79834616972728,0.38731776579071064,0.4030607522798447,5.14401661658597,-5.022575095429906,-5.237631938198898,4.901462473388461,-4.233497015508845,-0.8107332770711209,-0.9924205296633739,-2.4016809144805715,1.4777974614136884,-0.7704038344673119,0.9596825512165023,-1.5426132457577193,1.77485215141514,4.296020791151071,-0.3239057329897207,-0.5576379706782958,-3.2134791600498414,-2.00770501814465,1.9996902750616605,-2.0669977026224524,-1.2338806481822113,-1.9785143433329409,1.7297392596830343,-1.137800656811319,-3.801366516831772,-0.22724167028160053,-0.4759332554557375,0.4471850482399649,-0.3017871119759514,-0.3681743401463334,-5.961545007680042,-3.890890922411852,-0.0444201367444131,2.0658216361945807,-2.9984967809593797,-0.605054964725734,-5.084721952752218,-0.3854553690990617,-1.430186268595867,5.484371300798861,-1.0763742051766954,4.013348258372217,0.5862757726333072,1.1490860613679743,3.723901624065773
GLRGC0385,15.696899384682123,7.941808387371097,-1.274311732156335,1.3933443387696962,-0.011649865090081512,-0.7053487301621435,5.399335082114938,-5.441817718488428,0.8368193408752865,-0.8931694484929928,0.4691827415434896,-0.6090550053921561,0.043469699149770516,0.575909558513235,0.19793713510523847,0.5316686883067288,0.34470464947242446,-0.060947008920939225,0.40123424283177106,-1.2174983877971948,0.9847647185636462,-1.6132431302907397,-0.5986425253073009,-1.2604074626725914,1.5542645778291622,0.9340710533533354,0.4666624696734702,-1.1242139210514064,-1.2295197345629045,-0.9456100976835953,-0.6923640022075801,-2.4735730673844647,-0.18937349537577458,2.3149441824005246,0.6527023119431371,0.015235682234149985,-0.020918875422227916,2.0932524383447992,-1.8236853937929867,-0.5312355532539151,1.4496479087162342,1.2574801547328929,0.24850224876657528,-3.9649642727055987,-0.24618352801222904,-2.7868253873112843,-1.0177329151987669,-1.2554937527178378,1.8735709735927502,-0.42259376657180503
GLRGC0386,11.264674171719331,1.1765389704845832,-0.03621132083245598,-0.1493534205233762,-0.24053449380994574,-1.484613700415462,-3.470973868194352,-4.160222028248401,0.8392368087653137,1.448490176577841,-2.5171965262302067,-0.043320245951159325,-0.9011461750596212,0.4345306162896649,-0.6861576673849086,-1.7758876054833272,-1.6357400143082919,1.2431184907397876,-1.272822782600787,-0.6105582832743113,1.4928251536374886,-3.402525527239861,-2.2911206948655582,0.4325382190430622,0.3948459587492658,2.159949966226671,-0.6153540571503718,-0.8473842780706423,1.7726676919755344,-2.195064017551148,-1.4074450016540174,-0.5701287636628729,-1.9405968015618875,-1.951185251811978,-1.5364283120453563,0.23971199512605715,0.6122811556920158,1.4522522235697197,-2.066544735294909,1.403997185263922,0.03363855440617957,-0.5188091445385891,3.0864188739686185,-2.2307724816977554,2.9535886343070934,-3.130973487599234,-4.306307171226599,-5.921414618654267,-3.627855857956732,-0.7691521078642198
GLRGC0387,4.41004457264897,7.557061383105762,-0.6229959416707813,0.5111230673548998,1.7565116752019954,0.7473422707600967,-0.0075115189196474684,-3.7993432299983887,2.939791125210725,1.2495628237361605,-3.0806852955428337,-2.916756465431262,0.6671319708729941,-0.8997438137822535,-0.5013246253113891,2.2997822538613195,0.698829400506092,0.9469417302769574,0.8349065733014369,0.23996934097212294,0.9448981923157238,0.20626308230753,1.045765460447933,-3.6384534256506615,1.6548222567022026,-1.068225359812487,-5.037676254276036,-0.9035474631668208,-0.6282518486375168,1.481138477075896,-4.533147497234978,-2.1191634050229955,-0.3520556633738015,1.7323866527390912,-0.20183714199358166,-0.024451053183999538,4.107604361250012,-1.5252357003966592,1.1127966284822135,0.08743129131814165,-3.1431401227658293,-0.6163532922808704,0.47233099082394253,-0.11022044325954075,-1.413313620249597,0.6103544040781599,-0.7315240252225861,-4.764130477113915,-0.7005195263641075,0.4741762330106559
GLRGC0389,19.588952665275347,9.254947830217928,1.5954453019855477,-0.1815724958146452,-0.05566523830746136,-1.2791920839680684,1.5633081120162102,-6.9580066983292435,1.1778566531880061,0.8736310149947931,0.42955463025012086,-3.6672374664387037,0.24970796855068977,0.010774129654248746,-0.34998369786413097,-1.2926738882552975,1.2672111556628158,-3.462979246400271,0.32569443739816384,-0.9696111990002557,0.15829182065244476,-0.3957242468911783,0.8551726724920652,-0.9875710958302856,3.5192195262480195,2.2831682045759623,0.6979942763007579,1.5868525429328495,1.1117102897433147,-0.8516317268341912,0.638193461151421,-1.5464411391970578,1.2014303644984456,5.314160551464836,1.8520931672467265,-0.36540069932059543,-0.3411691676712759,5.7984970845419,-2.372143203844859,-0.0928420478483262,1.6712327144085872,2.9838552204356588,-0.4174140750099288,0.2957325632479438,0.976106329633613,-1.8268664109041897,3.287283614582377,-1.725394317109903,-2.9385955590188018,0.03439664356556078
GLRGC0391,26.309802572780406,1.6043025460010947,-3.7148199163777975,-0.44175642741763455,-3.2768992044932777,-1.966612578207292,2.6740516184926215,-1.665763374713499,2.965727876107093,-0.06596903445570973,2.4951175828115977,2.206862350399069,-0.34391119471590115,1.2466481890045547,-0.28718409211512386,1.3560659718294932,-1.51052309208807,-0.48152517008917683,-0.656843241756258,2.2430849811809317,-3.523571720679897,-0.09027409443385724,-0.7239218319520272,0.7115659265878912,1.8079810872158268,-0.7428063719283435,-1.0921879313492107,1.5529049714159395,-1.5700722069689286,-0.23859395604735584,0.9544210525778545,0.6215836608306348,1.6524372803132585,2.2998141882281,3.0243059834271513,-4.296296931303437,2.454131497772045,2.3303363664014487,-0.7606994077775577,0.0331814448545428,-4.480277116778387,2.486936862817736,0.8869582732412403,0.8628445139840258,-6.293694530813961,-1.0649024476253808,-0.3299335631943074,-1.9420459302805366,3.564258323608842,0.6768724895228391
GLRGC0392,24.69417617031254,4.632461596505302,4.121912873459591,-0.21732152270747748,-2.9833670242145875,-1.4759552070538942,-2.011613101003245,-2.6200906725844124,2.3738840378084882,-0.6346910745165187,0.9693468810794813,-0.03451949688060467,-1.9167136611025224,-1.7100952570159178,2.962180753215016,-2.100959416756299,-1.5788681262273139,-1.5820188339018373,-0.6110840720196119,2.2935705685602925,-2.4145182730278467,2.285639004492843,1.010797610827923,0.8171854864343051,-0.5293672536979535,-0.19536216800329403,0.5280868115019514,-0.8836743970784074,-4.310127304687267,0.0093735802946309,-1.8864242412202388,-2.5332527778626592,1.7884216631004013,1.3084319302846874,0.23946181391307325,-1.314093767854489,-0.5613244664339808,0.41718219981715693,-0.35680559970901016,0.3860148582311688,2.033008600289878,3.02793975085203,0.6730819996451287,1.1510928252233392,0.7996703409260355,-2.314009267917595,1.384319099024481,2.197966372074276,-0.09911185168045407,-4.289268188849162
GLRGC0393,0.737236104508771,-6.323616150059208,-1.3836044607884856,-2.7489483779681856,-2.420347326559588,0.8354095571930125,3.431356972257698,-3.1662562145467157,0.3608669744555597,-1.480755777027357,0.2509679016175713,-0.5720065401505884,-0.5198825881393963,-1.025316984753671,1.6453858441623317,0.16324135241459642,-0.43705994734278264,1.2325761194528726,-1.4252626841384382,-1.4853089286164722,-0.737687298022151,1.6535071472506493,-1.4065758813478517,-0.948011301986702,1.5349823370838471,0.29443649303715325,1.6121048194141703,0.8954862141516496,-2.02733087375494,-0.8070138691388364,0.23587012492147622,-1.8008521811906604,-1.4096368358730387,0.34691951624291645,-1.3778419258439285,1.754593269784777,2.2294345287225403,2.124220792371583,1.2037761602327348,1.4141913909180652,-0.021216768243533454,-0.5570168902499978,0.4272553754589081,1.69647109967589,-0.13325636112027628,-1.2779855864717484,-1.5693797472066258,-0.814634976166176,2.6095801595030435,-0.22105730661010667
GLRGC0395,-11.470140972377395,-0.27243981726970007,-2.2164748117351576,-0.41561464487789473,1.0544273155798243,3.3211353204422354,3.2435791745659466,-4.669963074412006,1.3108186793060828,0.347202963954769,-0.5379311469111354,-2.7932618762733448,0.016123634036327737,-0.12133487437048006,0.9865004930766417,0.08913391296577916,-0.5350535571147974,1.1211463455878252,1.996054425876402,-2.210998609149858,1.580671534517851,0.13411292697233543,0.7102451260690135,1.8630510372695355,0.39969595964519333,0.22162351328964783,0.6909668710583927,-1.2001958037402791,2.032340552949714,1.0761892754509452,-0.16157358559017276,-0.9408526351028204,0.7458441303842869,-1.9091624431040444,0.019960340082493002,0.03231773248243273,2.4015958475889687,-0.5930922649648537,-0.8075744576478159,-0.5729356935647868,-0.4431243736351559,-0.7608755603264897,-1.3236501828472078,1.3011312588326958,-0.24614590136851267,1.3217717837278358,-1.471507922793209,-0.47952863922186517,-0.3038968349948177,0.3591712471668424
GLRGC0396,-0.6406409858891787,-0.6155126700039817,4.3611785839381545,-1.0352266182350844,-3.7790115007113276,3.5962185763650028,2.2317902779590635,-3.852331863109117,0.5937308183474541,-2.3427811938041265,2.1669536748763605,-3.3848282125517026,-0.47753929705238657,2.3272022257872207,-1.8444659584572591,0.1352879946790633,-3.6915350985152795,0.21478242246037443,0.37768785307099667,1.1115063016215676,-0.9175487623132659,1.0709242853944199,1.7279923951888192,0.5971224460989848,1.9076613681822492,0.8095503857152277,1.2842017157811072,-0.7069515797565957,-0.5999072926918589,1.4110240502446563,-0.6077996701390123,-0.943348385520749,-1.5561356069897012,-4.6158621653216185,2.5024009675377563,-1.6674150720439158,1.218299718895369,-0.0954476532198695,-2.0023512399739802,0.6587362705513455,-1.9157620759328393,-0.5915735466228227,-1.3593399915830802,0.6568045648602129,0.20040986899746446,-5.564257470451645,1.483417480687574,-3.724297087114501,-4.217903421407297,-1.2872625504276385
