type,AUC,90%.sens,90%.sens-0I,90%.sens-II,90%.sens-III,90%.sens-III-IV,90%.spec,95%.sens,95%.sens-0I,95%.sens-II,95%.sens-III,95%.sens-III-IV,95%.spec,98%.sens,98%.sens-0I,98%.sens-II,98%.sens-III,98%.sens-III-IV,98%.spec
ind,0.9355,0.816,0.7,0.818,0.882,0.882,0.863,0.711,0.7,0.818,0.647,0.647,0.941,0.632,0.7,0.818,0.471,0.471,0.941
ind,0.9427,0.842,0.8,0.818,0.882,0.882,0.863,0.711,0.7,0.818,0.647,0.647,0.941,0.632,0.7,0.818,0.471,0.471,0.941
