seqID	mt	X	Y	total_reads	gcc_reads
GLRHD0694	1814	541395	63391	21719418	21752211
GLRHD0633	1838	565749	61592	22529109	22567063
GLRHD0954	967	781016	90647	31702198	31764220
GLRGC0472	6407	684050	78210	27379177	27406953
GLRHD0054	371	1073941	7843	22399247	22417725
GLRHD0926	1474	1041575	7280	22110756	22159761
GLRHD0751	749	1010220	5406	20405937	20448612
GLRGC0259	1327	1740939	11142	34793135	34852487
GLRGC0294	746	994850	6794	21593996	21629970
GLRGC0186	7826	1192421	9739	26071210	26017676
GLRGC0200	3290	883978	98365	36381663	36414480
GLRHD0818	5135	1090452	6965	22573865	22613344
GLMHD1053	9299	1094384	7789	22848947	22855936
GLRLC0006	2374	582837	69555	22884533	22931588
GLRGC0204	7340	878676	99826	35013847	35102100
GLRGC0426	1585	635340	71568	25594238	25576999
GLRGC0196	889	885494	104674	35150663	35235094
GLRHD0834	2153	1387767	10425	28048473	28142606
GLRGC0457	4356	839960	98470	33358163	33398440
GLRHD0955	3695	1537090	11947	31410657	31452365
GLMHD1008	12553	1140872	8342	23170219	23191693
GLRGC0336	1342	556454	67686	22322158	22343321
GLRHD0679	2329	819933	97253	32940443	32996093
GLRGC0321	916	639854	72478	25565656	25617368
GLRHD0918	2813	1204326	9842	24325729	24360309
GLRGC0316	3846	565256	63700	22246060	22280867
GLRHD0789	774	547431	64363	21863377	21900358
GLRGC0320	4148	942653	108188	38070532	38122721
GLRHD0756	2303	1339483	8087	26247377	26336101
GLRGC0050	3311	697498	79838	26552672	26591352
GLRGC0403	3231	669932	78610	26103930	26178260
GLRHD0702	1072	480433	57145	19420972	19438356
GLRGC0456	830	806573	93682	32497284	32571028
GLRGC0364	992	762520	89115	30477511	30560305
GLRGC0287	1313	1015295	6245	20620491	20657717
GLRHD0691	2172	1200442	8568	25342014	25395381
GLRGC0152	3355	569005	64901	22913578	22942362
GLRGC0304	1141	803544	91268	31974167	32048147
GLRGC0239	1483	720564	81029	28851885	28920958
GLRGC0307	860	1807162	10404	37046618	37105838
GLRHD0714	2194	607251	71323	24436628	24479593
GLRGC0380	6436	559292	63846	22197641	22273266
GLRHD0116	463	946633	5746	19320451	19361545
GLRHD0732	529	543434	65457	22283057	22301323
GLRGC0237	8937	908266	99728	37517993	37521248
GLRHD0797	4539	1008810	115560	40599893	40677837
GLRGC0448	3043	1472431	12188	31322844	31373577
GLRHD0847	1567	1322388	8371	26743480	26773499
GLRGC0449	2588	752347	89174	29806573	29908156
GLRGC0142	3841	697541	84935	27858133	27889408
GLRGC0348	740	565035	62170	22656393	22684526
GLRHD0431	1619	771272	92782	31026330	31091047
GLRGC0421	1322	711676	82255	27909840	27979000
GLRHD0713	876	647786	73652	25511119	25548885
GLRHD0114	1009	584182	70135	22958362	23008551
GLRHD0623	2205	633996	76773	25390683	25442079
GLRHD0634	665	572851	66780	22859643	22932860
GLRGC0385	1102	908158	106344	36106235	36195308
GLRGC0363	1133	1143800	8136	24351731	24395033
GLRHD0739	766	670275	80664	26668640	26722125
GLRHD0941	951	764649	93340	30653076	30727839
GLRGC0313	814	554794	62808	22390195	22417927
GLRHD0812	1138	531430	59578	21340786	21394273
GLRGC0004	760	648840	71787	26157177	26198659
GLRGC0411	2199	1394689	8387	29634323	29691881
GLMHD1052	6524	1116489	7928	23249086	23281674
GLRHD0724	4995	1245025	8456	26478728	26520736
GLRHD0779	881	661788	79173	26243758	26310467
GLRGC0232	1150	1465252	8911	30530381	30598327
GLRHD0790	1149	653816	77462	25833441	25897340
GLRGC0297	1070	552700	66852	22356823	22386983
GLRHD0053	454	1083118	7046	22653244	22684200
GLRGC0325	2204	787533	94785	31207927	31269438
GLRHD0629	1156	963584	117174	38542113	38632981
GLRGC0252	653	643579	76330	25424818	25498094
GLRHD0767	1194	1477611	10860	30784286	30806133
GLMHD1022	8656	972739	6984	20029450	20053784
GLRLC0083	2213	867377	5995	18033765	18064333
GLRGC0484	3259	787421	89743	31236305	31336819
GLRHD0889	3206	1275279	6599	25608169	25658520
GLRHD0902	1442	488053	56975	19933195	19968767
GLRTC0021	2337	1148674	7523	23569816	23624687
GLRGC0257	2603	596688	72055	23019390	23092895
GLRGC0382	3339	849238	97173	33843939	33913776
GLRGC0139	1499	674415	78601	26568528	26614182
GLRCRC0017	2560	605413	74214	23689851	23713193
GLRHD0862	2472	921509	5780	18296434	18343889
GLRGC0373	5913	687178	78147	27792587	27835516
GLRHD0758	903	1045721	6163	20784959	20850801
GLRGC0169	5783	489353	55742	19225497	19271771
GLRGC0454	2374	785441	90758	31866868	31911175
GLRHD0645	980	1781386	13727	36739733	36813348
GLRHD0901	2048	1168816	9461	24211989	24230852
GLRHD0754	2677	524422	60657	21099713	21143978
GLRHD0769	880	1679082	9903	34304196	34373011
GLRGC0475	3544	810724	89524	32810612	32850204
GLRGC0312	977	1387715	9340	27259235	27307417
GLRHD0938	1886	1159399	6820	23480731	23527984
GLRGC0034	1463	1094432	8252	22763544	22793766
GLRGC0401	952	766674	87986	30765369	30853553
GLRBC0029	2337	979801	6247	20488977	20565245
GLRHD0720	3891	1098482	7428	22729036	22772994
GLRGC0340	9349	625561	68758	24813896	24868864
GLRGC0344	903	1024334	6953	21341914	21381536
GLRGC0397	2255	834693	101366	33301412	33369646
GLRHD0150	1806	1315234	8526	27403517	27461394
GLRHD0611	1430	1436536	10534	29222723	29280960
GLRHD0715	1108	1249644	7219	24997587	25094235
GLRGC0249	3308	702886	77699	27640038	27691729
GLRHD0699	679	853534	101991	34044712	34130971
GLRGC0130	1911	817851	95361	32225411	32289663
GLRGC0264	3527	419552	50586	15957029	15992236
GLRBC0021	1281	1412183	8985	29494577	29555577
GLRHD0684	5986	609628	73729	24305525	24342163
GLRHD0924	2064	1201244	6997	23818953	23891159
GLRGC0113	1769	614711	70472	23927551	23996419
GLRHD0561	536	612191	70344	24639180	24699785
GLRHD0706	2512	1309356	8932	25898251	25963070
GLRHD0945	1824	1815607	11836	36428383	36476168
GLRHD0660	3116	834261	5898	17573584	17600408
GLRGC0440	2455	1357489	7572	28174400	28214190
GLRGC0273	8984	722601	83463	29257316	29310968
GLRHD0911	1234	612240	74518	23984550	24030805
GLRHD0616	3066	589346	66628	23538127	23577841
GLRHD0121	1584	676684	78919	27316581	27347833
GLRGC0338	1605	1286511	8672	26884897	26931338
GLRHD0529	5871	1178757	6683	24127746	24179703
GLRHD0845	874	573929	72258	22934600	22969996
GLRGC0093	2066	659257	75359	26473971	26517307
GLRTC0029	2124	1372558	8171	28449022	28507361
GLRHD0519	4500	1417262	10593	28571251	28617074
GLRGC0178	2303	1108079	131669	44834214	44917973
GLRHD0865	495	712315	83881	28313420	28361923
GLRHD0631	1184	1013939	5352	20958875	20992242
GLRHD0692	625	617904	75380	24253619	24315642
GLRHD0618	834	1114777	6363	23536682	23570922
GLRTC0016	1031	1249903	7434	24771043	24819594
GLRHD0817	801	649936	75768	25982154	26033876
GLRHD0099	1090	1152704	7879	24488669	24515176
CRLG0010	20918	1346419	9480	27024248	27024225
GLRHD0707	5107	953636	7357	19275018	19296387
GLRGC0180	1756	1430766	9299	30151573	30199413
GLRHD0680	2348	1445893	9351	29605087	29659910
GLRBC0019	998	1128368	8473	23777850	23814660
GLRHD0805	1387	582574	67289	23163342	23210561
GLRLC0049	1530	1176387	7876	25325411	25366257
GLRHD0877	1676	1228467	7256	24731478	24820375
GLRGC0156	1526	776404	93832	31076352	31117321
GLRHD0774	1738	1274001	7123	26108408	26166080
GLRGC0306	6460	615470	71200	24822125	24860583
GLRGC0298	7112	1417238	9006	28389861	28446064
GLRHD0726	483	577229	68707	23018191	23059541
GLRHD0617	1093	1729635	9244	35730753	35810643
GLRGC0301	4376	671354	80294	27239183	27282101
