seqID	mt	X	Y	total_reads	gcc_reads
GLRGCP0001	2109	1660097	13521	33989222	34091452
GLRHD0939	2099	1258168	7290	25251591	25317478
GLRHD0755	2192	726747	82067	29205746	29266141
GLRGC0245	1857	774437	90336	31184454	31234756
GLRGC0160	2333	1975220	12974	39230619	39314832
GLRGC0405	1239	1417335	8870	29088992	29136573
GLRHD0640	833	628045	74201	25126109	25175732
GLRGC0014	1096	1403789	10549	28730629	28766679
GLRHD0410	887	669755	79410	26628957	26681974
GLRGC0244	3558	709419	79150	28140342	28243486
GLRHD0139	5181	1326418	7222	28107609	28157377
GLRLC0054	3002	830749	6332	17188628	17235246
GLRHD0669	2246	616790	71414	24527923	24559549
GLRGC0069	2886	623895	72981	24154655	24233226
GLRGC0182	1812	602093	69731	23944416	23983544
GLRHD0752	2681	1100026	8493	22534581	22573175
GLRHD0859	7828	1365362	10751	29177858	29219969
GLRGC0361	579	777142	92285	31068808	31140611
GLRHD0798	1226	509492	59511	20544782	20593121
GLRGC0149	1494	616106	65917	24643187	24684285
GLRHD0814	2959	1802779	14460	37426002	37527090
GLRGC0278	1198	688627	76723	27079063	27159312
GLRGC0256	2227	616479	69873	24463538	24508149
GLRGC0328	1528	1008514	6394	21159841	21202892
GLRGC0311	1399	1535204	9004	30862649	30900741
GLRGC0148	2757	872209	99601	34636233	34701162
GLRHD0613	464	552544	64811	22218143	22262284
GLRGC0267	590	1677939	11562	33794595	33878632
GLRHD0615	807	1372089	8616	28144525	28190177
GLRGC0345	3196	619244	75675	24480125	24503602
GLRGC0493	1690	1338766	10303	26192239	26235895
GLRHD0840	9610	643632	77151	25518524	25554986
GLRGC0399	2223	627975	74893	24616099	24675505
GLRHD0917	3852	1382046	9815	27448585	27483813
GLRHD0630	1449	1299245	10343	27104241	27139811
GLRGC0280	1171	659631	79777	26733600	26758727
GLRGC0371	4138	1609722	9893	32330077	32420387
GLRHD0094	1148	1432688	7825	28974811	29047170
GLGHD1001	28018	1250165	10174	25302033	25302646
GLRGC0479	2516	880443	94675	34383142	34464825
GLRHD0841	873	1307446	8043	26035135	26092971
GLRHD0905	1905	588962	64797	23888743	23949227
GLRGC0250	5085	1068100	138362	42496656	42501191
GLRGC0414	8489	1096088	127413	44143033	44189164
GLRGC0431	1279	1365767	8418	29107650	29146098
GLRGC0262	1430	727385	88884	28921467	28980752
GLRGC0233	2882	533852	61353	21329628	21372885
GLRHD0060	748	645217	75828	26198109	26214203
GLRGC0201	2091	683202	78456	27417082	27460802
GLRGC0359	1293	698603	84745	27791730	27852585
GLRGC0228	1512	1223625	7061	24706203	24802699
GLRHD0800	3759	1365104	8295	27169606	27221788
GLRCRC0164	5709	792887	97229	31552988	31604317
GLRBC0011	1883	1106872	8030	22749319	22789211
GLRHD0705	3243	1245603	8827	25441508	25519189
GLRGC0358	741	754380	84380	30302831	30344247
GLRGC0136	864	686312	77182	28045956	28042632
GLRHD0796	1817	1103829	8708	22563379	22603207
GLRGC0219	3383	871667	99976	34809455	34880022
GLMHD1051	4158	1022375	6799	21545858	21581941
GLRLC0059	3270	654516	73731	26432366	26450483
GLRTC0047	2321	1129533	8196	22603724	22660896
GLRHD0619	2265	1073033	6710	21394547	21459325
GLRHD0685	1720	438683	51942	17546386	17578282
GLRHD0683	1348	1613086	12333	33691170	33718106
GLRLC0030	2662	987613	6062	20946524	20971749
GLRHD0661	1264	646956	75369	26378232	26411070
GLRHD0079	1923	622032	72047	24841553	24894024
GLRGC0428	3625	1773942	12002	37165182	37229483
GLRGC0303	3034	559256	64409	22373200	22421323
GLRGC0275	1504	1781467	10508	37657833	37712065
GLRHD0111	1718	1323246	7238	26625843	26695728
GLRBC0028	518	1106480	6825	22246764	22300707
GLRGC0498	768	381932	43536	15318810	15357598
GLRHD0380	1487	761581	91443	30307915	30353173
GLRTC0001	1737	1164880	8744	23687520	23754886
GLRHD0869	825	1651075	8396	33351330	33416142
GLRHD0813	1209	1429280	9433	28118246	28198131
GLRTC0042	4571	1052688	8554	21163927	21207114
GLRHD0770	1119	659114	77658	26390312	26455991
GLRHD0891	975	658680	79697	26176347	26232973
GLRHD0056	1063	1131309	8335	23833205	23864936
GLRGC0469	10198	772178	92520	30704433	30803277
GLRGC0026	2003	1381140	9370	27711150	27751261
GLRHD0923	2214	1666478	10302	34061966	34119515
GLRGC0138	4223	870062	95177	35444883	35498991
GLRGC0146	2942	556371	66041	22078230	22124855
GLRLC0079	1399	1349633	7447	27737962	27787019
GLRGC0238	3047	731267	84872	29008247	29061700
GLRHD0733	6528	515705	59470	21056044	21105801
GLRHD0803	1896	1224775	7999	25597850	25655065
GLRGC0188	3830	710102	78352	28019305	28055185
GLRHD0673	489	607693	68287	24115567	24178719
GLRGC0480	4850	759354	85296	30319659	30252729
GLRHD0864	700	1365600	8909	27173472	27240160
GLRHD0678	1305	655975	74947	26247929	26295177
GLRHD0534	2492	1043208	7205	21187147	21220584
GLRHD0836	4328	869654	112954	34507160	34607263
GLRHD0105	1321	533631	61453	21519523	21557015
GLRGC0184	488	563818	65163	22479477	22533751
GLRHD0719	916	686405	80463	27504186	27548621
GLRGC0211	2111	1795075	12791	34017818	34050051
GLRHD0690	1974	1559576	10260	31765702	31818467
GLRGC0154	2448	496095	60917	19700729	19736579
GLRHD0681	1926	856852	96747	34317870	34376118
GLRBC0015	1597	1584167	10012	33084418	33157143
GLRGC0041	2056	615520	75597	23826947	23861026
GLRGC0309	891	735181	85922	29185836	29240079
GLRHD0952	1692	871784	102496	35611448	35652696
GLRHD0887	1892	1282587	7910	26395179	26444891
GLRLC0080	1351	1260640	8240	25940280	25991040
GLRGC0193	929	742374	86298	29679539	29738328
GLRGC0444	653	729653	81830	29499510	29545960
GLRGC0292	3349	706995	82349	28171466	28213977
GLRGC0413	5765	711401	81588	28499353	28543204
GLRHD0851	855	1346128	7743	27129706	27194363
GLRHD0495	1322	564042	68411	22514061	22539142
GLRGC0187	3411	1361441	8726	28031442	28104989
GLRGC0215	1049	1248097	8784	26305490	26362533
GLRLC0081	1221	1034618	6283	20942617	20979566
GLRHD0744	978	1210291	7518	25045641	25076444
GLRHD0757	2421	1449337	8634	27588181	27641934
GLRHD0808	2315	1154509	6872	24206985	24264427
GLRHD0919	2240	1245334	9026	25362156	25407432
GLRCRC0138	1650	1397925	8332	29408907	29453419
GLRHD0750	3957	684433	75119	27630547	27685348
GLRHD0736	1967	1191873	6536	24769184	24832067
GLRGC0214	3269	730241	81171	29971784	29975699
GLRHD0612	1327	616895	74688	24644259	24700854
GLMHD1021	5016	888877	5891	18346521	18374604
GLRHD0742	6371	1082658	6230	22264720	22312215
GLRGC0356	1965	765738	91990	30948865	30975753
GLRHD0866	1573	1133286	6850	22896101	22957784
GLRHD0913	6457	1194035	8166	24975958	24960772
GLRGC0274	1564	1199959	8513	24439026	24480927
GLRHD0650	1626	619482	70917	24679049	24730991
GLRCRC0139	1167	650157	75452	26182586	26267757
GLRTC0050	3651	1080670	6962	22335808	22395983
GLRHD0637	1514	1299805	8441	26685998	26730137
GLRGC0222	951	1503413	8391	30741622	30797396
GLRGC0465	1481	807990	97187	32085650	32167671
GLRHD0927	2279	795264	95856	31817580	31908250
GLRGC0134	936	1799755	10578	36843454	36921308
GLRHD0849	1619	1106564	8489	23275639	23300496
GLRGC0220	4526	710368	81631	28593766	28515749
GLRGC0266	2969	579182	70294	22792246	22874126
GLRHD0792	996	1489657	9991	31006095	31097919
GLRHD0530	1964	817657	5896	16840986	16869441
GLRGC0242	2553	612754	70352	24566005	24622588
GLRGC0388	2987	841590	72556	29033833	29100837
GLRGC0265	1646	627952	73858	24465835	24503726
GLRHD0664	4619	1151840	7381	24024451	24055638
GLRHD0122	1085	558404	65302	22688022	22721119
GLRHD0925	1196	511229	60320	20508777	20540664
GLRGC0415	5463	749976	89620	29932968	29972606
GLRGC0418	4921	736382	5350	16178492	16204418
GLRGC0047	2118	621630	76805	24590678	24626191
GLMHD1037	7999	1066197	7464	22342011	22365155
GLRCRC0073	879	1286652	9909	26704501	26754386
GLRGC0162	5357	1714908	8928	34498561	34565614
GLRCRC0110	5832	665235	79276	26709410	26752710
GLRHD0058	740	1232077	8638	24943086	24972684
GLRHD0722	2357	1167439	8799	24405907	24444919
GLRGC0464	9181	1215122	11310	24944508	24930395
GLRHD0878	1717	648282	75687	25952612	26012960
GLRGC0165	1014	801098	93625	32235690	32302460
GLRLC0041	978	1127025	7718	22924631	22952810
GLRHD0688	2060	557322	63692	22166250	22202831
GLRGC0175	965	1009963	8005	21592481	21142331
GLRGC0243	2544	454331	52991	18450139	18474001
GLRHD0839	1058	558306	65863	22428059	22474495
GLRGC0409	4325	694995	77506	27273307	27266950
GLRGC0349	1548	537885	62836	21301069	21353806
GLRHD0907	770	803099	98839	32381280	32447206
GLRGC0095	3010	635213	71277	24858129	24891596
GLRGC0365	1243	572965	64405	22790079	22830907
CRLR0007	1390	516855	60835	20957909	21007925
GLRHD0858	1501	1493925	8827	31534735	31589345
GLRHD0089	731	1279230	6496	25943337	26012180
GLRGC0350	1898	1240191	8435	25065218	25150638
GLRHD0606	1420	980563	116846	39324186	39387445
GLRHD0908	236	910379	7877	19459906	19462953
GLRGC0377	2782	763960	83518	30708466	30757221
GLRGC0150	1047	1237023	9117	25603627	25603534
GLRHD0712	2088	1603919	10027	33201033	33243151
GLRGC0432	7734	729567	75965	29277231	29282049
GLRHD0737	4111	586869	68621	23537141	23587278
GLRHD0906	604	1303353	8197	27491858	27530461
GLRGC0404	8238	1271544	9091	26485830	26537121
GLRGC0246	3153	1491540	10837	31118699	31168894
GLRHD0405	3184	1201000	8052	25643899	25678509
GLRHD0807	2027	467102	50919	18743105	18776014
GLRGC0210	2124	1724902	13672	36097943	36186037
GLRHD0886	1438	674526	80545	27039100	27098171
GLRGC0159	709	663223	78441	26479998	26530108
GLRHD0527	540	922351	6348	19616035	19673515
GLRHD0624	2014	1333074	7971	26932344	27017718
GLRGC0218	2169	1146013	6648	22856433	22912882
GLRGC0284	8043	1103064	133617	43376723	43416546
GLRHD0642	2220	724442	82925	29153742	29223427
GLRHD0937	941	654934	76707	26029506	26079432
GLRGC0129	2119	636193	71542	26057921	26088410
GLRHD0731	822	576412	72416	22943687	22971455
GLRGC0212	5459	1256026	6382	25357961	25421986
GLRHD0686	744	1008951	8391	21118521	21146401
GLRHD0649	2951	942696	106608	37989233	38030262
GLRHD0120	1176	529758	60956	21224562	21263933
GLRGC0137	3740	653001	71217	26287286	26315401
GLRGC0326	2900	661525	79458	26107313	26152274
GLRHD0721	1284	1043416	6532	21991105	22048019
GLRGC0395	3406	1060338	124643	42854460	42925269
GLRGCP0003	5051	668192	72468	26507874	26451535
GLRGC0455	5296	686559	79537	27436459	27394842
GLRGC0436	6480	640367	76771	25610466	25613482
GLRGC0271	4543	774957	90169	31387256	31478285
GLRCRC0034	3365	1176765	8562	23810987	23846532
GLRGC0482	6217	750211	87439	29895211	29901613
GLRHD0367	2761	971027	6586	19838550	19864077
GLRGC0370	3476	414096	48601	16567452	16600072
GLRGC0471	7547	1381443	10090	27721684	27756352
GLRHD0910	1106	714479	86467	28467788	28540880
GLRGC0488	1038	766459	89988	30329976	30407267
GLRGC0302	756	1231922	8361	26198528	26227135
GLRGC0290	2078	536836	63003	21409119	21454091
GLRHD0946	1035	607064	71511	24246203	24290555
GLRGC0408	597	1422941	9474	30043337	30110091
GLRHD0853	1655	1180628	7103	23752440	23816747
GLRHD0950	4152	847259	102520	33807266	33875685
GLRHD0088	2907	1203071	7360	23410937	23473975
GLRHD0773	657	1229488	7508	24855757	24912973
GLRHD0709	1567	1697976	12050	34163297	34244294
GLRGC0189	2347	759424	85919	30429267	30473927
GLRGC0332	2278	591653	73346	23334262	23395974
GLRGC0083	1325	1160839	7379	24327831	24380778
GLRHD0718	4356	695932	85916	27256418	27299399
GLRGC0028	513	1209162	8567	25225701	25265487
GLRHD0874	1626	827088	98324	32887624	32976129
GLRGC0176	5151	556361	65847	22316490	22356114
GLRGC0489	6123	779466	89304	31561535	31620950
GLRHD0776	864	663206	78439	26652209	26708985
GLRGC0470	6514	786052	89840	31333976	31353342
GLRHD0861	2329	707056	86468	27637316	27726215
GLRGC0324	1196	1434339	9326	27662063	27727775
GLRGC0216	1928	1118840	6168	23625308	23672301
GLRHD0396	3474	709787	81163	28832545	28885925
GLRHD0915	3605	672514	83607	26799147	26846526
GLRGC0491	2572	742733	86874	29521138	29571183
GLRTC0045	3933	1068703	7828	21636000	21676450
GLRHD0748	2752	1786269	11905	37052931	37125825
GLRHD0409	1662	487803	55837	19364644	19404684
GLMHD1023	14431	1189729	8461	24229772	24245380
GLRGC0367	7616	607007	78592	22241903	22307564
GLRGC0468	2085	1307268	9676	27898958	27906819
GLRGC0433	1837	694776	81656	27793996	27837663
GLRGC0410	3706	689932	76970	27614572	27642918
GLRHD0730	751	585476	71051	23571733	23626210
GLRHD0842	1758	1242092	8703	25723296	25773955
GLRHD0698	816	1240425	7329	26021394	26062389
GLRGC0346	1472	495354	57258	20004414	20041447
GLRGC0192	1914	750996	86773	29951201	30003292
GLRHD0670	606	470696	57201	18703453	18781002
GLRGC0106	8082	607393	75382	24199342	24225158
GLRGC0100	2116	713807	85486	28510325	28549087
GLRGC0466	8975	646984	73214	25931873	25910173
GLRGC0151	1748	1934453	13602	39294684	39380260
GLRHD0675	641	1369451	9958	28002989	28033975
GLRHD0875	665	725776	85756	29240511	29290876
GLRHD0647	571	1485531	7975	31078560	31151011
GLRGC0376	6634	491095	52332	19924877	19983951
GLRGC0121	6636	627729	70727	25056508	25101516
GLRCRC0134	1681	550302	64298	21668191	21707734
GLRGC0288	1489	1107218	7357	22900942	22942097
GLRCRC0097	1793	602623	67791	24059928	24129010
GLRHD0652	2800	607337	73420	24134334	24185904
GLRBC0034	1770	1047200	7110	20915159	20977058
GLRGC0391	2619	753503	93015	29598363	29636609
GLRTC0019	1605	551712	64891	21869349	21920210
GLRGC0248	4007	817197	97350	32288512	32344923
GLRHD0863	718	1048826	6572	22244611	22290039
GLRGC0412	8328	1413601	12533	30261506	30335503
GLRGC0223	2712	836986	97046	33104517	33214700
GLRHD0824	819	1040384	6400	21968040	22017509
GLRGC0037	1810	1231943	7637	25857570	25900474
GLRGC0049	2038	663287	79145	26360020	26427759
GLRHD0095	1152	614689	71036	24198516	24262959
GLRGC0119	1761	1281008	7979	25597722	25636249
GLRGC0467	1380	1248826	8082	27774701	27796279
GLRGC0450	641	766065	82400	31499475	31565981
GLRHD0867	1171	1234934	7541	24462035	24514070
GLRHD0729	549	551797	63464	22008094	22051842
GLRHD0725	506	964081	6405	20189100	20229510
CRLG0006	30787	1865124	13483	35046862	35179305
GLRBC0003	1230	1346013	7575	28052540	28124024
GLRHD0953	1348	1643582	11604	33271111	33381584
GLRHD0695	2659	548288	60260	22329816	22355617
GLRGC0127	6340	1296245	8752	26234421	26286549
GLRGC0206	6110	1199561	7063	24876660	24935416
GLRHD0830	687	552042	65632	22384244	22423508
GLRGC0496	4911	739209	4665	15451145	15478429
GLRGC0045	1829	580016	69356	23165006	23194771
GLRHD0641	6783	855521	102402	34270078	34346096
GLRHD0794	1149	1236305	6157	25777346	25828091
GLRHD0740	6489	420145	51528	16944960	16974587
GLRHD0693	1212	637250	76525	25687500	25723997
GLRGC0124	1683	714227	84452	28445046	28503845
GLRBC0013	2194	1010725	6629	21718182	21758986
GLRGC0123	8581	1631086	12699	34355519	34370931
GLRBC0026	2987	1121737	6586	22387070	22451551
GLRGC0235	1978	827385	103598	33199908	33235139
GLRHD0801	2716	654480	73330	26212893	26266382
GLRGC0057	1312	663967	81746	26247953	26321875
GLRHD0574	1259	1402885	10719	29607949	29657032
GLRHD0912	1247	1308576	9604	26904264	26950632
GLRGC0416	2819	757242	86923	30152225	30236916
GLRHD0411	1520	630543	75523	25158386	25208488
GLRGC0064	2876	594081	67278	23144905	23178588
GLRHD0810	739	747440	88149	29655997	29748290
GLRGC0446	3575	685775	81984	27291025	27327993
GLRGC0389	3142	763469	90651	30174752	30217761
GLRCRC0075	1085	717053	85861	28371175	28410586
GLRHD0766	2111	769413	89603	30796481	30854826
GLRGC0437	3755	1099304	133256	43724304	43810260
GLRGC0229	1377	562520	64765	22257814	22298765
GLRGC0261	5897	496304	56469	19753442	19716003
GLRHD0703	1732	1444995	8783	29552842	29623892
GLRHD0885	431	581151	68537	22851091	22910146
GLRLC0057	1736	418635	49789	16881332	16916809
GLRHD0621	1220	918878	6002	19570770	19614798
GLRGC0317	2779	714724	79366	27837524	27884330
GLRHD0445	4331	1261086	7480	24941941	24999754
GLRHD0672	1296	1385117	9135	28582385	28658541
GLRGC0406	4604	554478	61042	22480572	22531955
GLRGC0153	919	1131643	7518	23558833	23615872
GLRGC0305	750	1369715	8148	27549686	27590941
GLRBC0033	639	1144396	7983	23431906	23496135
GLRGC0443	1045	673492	79794	26934681	26986119
GLRGC0167	10566	1385450	9524	27832013	27898951
GLRHD0795	4227	1229582	8240	25541963	25592805
GLRHD0948	2572	1068149	8638	22380449	22431329
GLRHD0157	1243	1177494	6748	24628918	24686909
GLRGC0166	2718	1324673	9742	28759488	28733118
GLRGC0207	1495	454311	50879	17802619	17827186
GLRGC0022	1549	1453715	10243	29447090	29484540
GLRGC0490	9145	1012202	114565	41114318	41180665
GLRHD0061	2586	488994	58479	19655847	19677146
GLRHD0446	1591	590926	70292	24010176	24073196
GLRHD0909	4987	816023	96674	32914174	32957046
GLRGC0439	5485	537973	59436	21508586	21480886
GLRHD0947	1012	606340	70879	24741889	24763991
GLRGC0497	994	679177	67223	26917252	26963123
GLRGC0434	5792	681475	63960	24560813	24537263
GLRCRC0155	2237	1148995	7078	24033372	24081419
GLMHD1006	5495	964824	6737	19850460	19870613
GLRHD0896	605	1237471	7161	25640181	25682798
GLRGC0445	8407	537508	61140	21691962	21722358
GLRHD0791	1466	733475	73869	27254355	27301887
GLRGC0360	1701	627104	74227	24774638	24842887
GLRHD0728	1969	1489450	11525	30564977	30627567
GLRHD0936	3382	508696	58914	20042613	20120508
GLRGC0251	6015	780435	91425	31104964	31137581
GLRHD0594	1791	461999	53255	18833957	18877626
GLRHD0823	711	1495357	9830	31299804	31336166
GLRGC0341	1558	1134966	7754	22428514	22460175
GLRHD0620	2094	1196343	8684	25023793	25076808
GLRGC0183	2436	627003	70399	24742042	24789951
GLRHD0639	1069	721789	82917	29054793	29095680
GLRHD0708	596	833245	5368	17259577	17297210
GLRGC0355	1090	720139	81829	28942394	28990572
GLRHD0449	2115	624737	73751	25463334	25501981
GLRHD0711	4887	640012	71691	25612721	25633422
GLRGC0425	3219	945998	110609	37610743	37725363
GLRHD0821	2395	679651	86100	27343181	27371435
GLRHD0832	787	1081903	6624	21914776	21976888
GLRTC0008	1424	978895	7149	19719147	19774470
GLRGC0126	827	874845	103415	35117378	35163358
GLRHD0846	678	1467728	8707	28258641	28300975
GLRHD0833	2584	1363257	8437	27912555	28004110
GLRGC0131	652	857521	98774	34524464	34569374
GLRHD0635	1621	1234924	6362	24688183	24735656
GLRLC0014	2979	1589106	11131	32853133	32913162
GLRHD0671	4250	1081977	6670	22349088	22413525
GLRHD0768	2551	677374	76565	26930285	26966112
GLRLC0013	1326	1086322	6313	22120940	22174019
GLRGC0281	1190	1584340	10195	31963803	32021039
GLRHD0788	2488	846372	97337	33982682	34046941
GLRHD0043	2417	1414987	8487	30536245	30585991
GLRHD0781	4099	433829	51570	17264516	17313331
CRLR0006	1672	1117002	7321	23342842	23388231
GLRGC0492	5254	2045265	29062	46014693	46071228
GLRHD0888	837	1313995	7418	26313056	26376333
GLRGC0477	2184	1278679	149512	51404194	51476055
GLRCRC0067	2353	1328659	9650	26997933	27028670
GLRHD0850	1951	617356	71256	24836870	24876601
GLRHD0778	587	1135526	7542	24737872	24810310
GLRGC0209	2921	1444280	9120	29910323	29963658
GLRHD0700	4030	1040347	7526	21369548	21413239
GLRGC0362	4761	678437	81147	26786585	26824394
GLRHD0916	4109	569821	69452	22761751	22784274
GLMHD1001	1278	954398	5778	19629915	19648641
GLRHD0701	978	893069	6381	18847025	18888014
GLRHD0775	776	681083	77883	27192273	27247478
GLRGC0240	10830	823220	96886	32677042	32742695
GLRTC0048	1692	1118177	7381	22463483	22532418
GLRGC0383	2255	661698	75989	26554007	26592393
GLMHD1007	9564	987609	6663	20031217	20062491
GLRTC0052	8438	1530079	9985	31639925	31670785
GLRGC0354	5464	1362813	9015	29820637	29872110
GLRGC0453	2723	703700	86183	27850814	27883603
GLRGC0366	3049	973605	113910	38657117	38727239
GLRHD0112	5943	517256	55370	20767462	20832538
GLRGC0422	2273	740906	88003	29698963	29929427
GLRHD0046	1131	1100515	6654	22210358	22244131
GLRHD0844	747	1225791	8146	25063807	25100115
GLRGC0099	6224	603427	70465	24379743	24395743
GLRLC0070	2130	803779	80324	29681812	29710009
GLRGC0226	833	1133029	6237	22510240	22585049
GLRHD0782	1630	554266	66043	22288388	22340858
GLRGC0417	4309	894051	106885	35306509	35369511
GLRHD0787	1185	1220780	6945	25692669	25743380
GLRTC0031	708	1283230	7538	26436752	26497372
GLRGC0133	1858	783825	92636	31631923	31674020
GLRHD0872	511	657649	74166	26584995	26627853
GLRHD0928	1624	820094	95646	32636941	32717336
GLRHD0932	1384	1162363	6435	23865828	23908685
GLRBC0046	2328	1322320	8358	26446321	26491945
GLRGC0164	1078	768368	87139	30957796	31000489
GLRGC0323	1057	764545	87398	30999290	31039081
GLRHD0704	5104	921450	8522	18967711	18999249
GLRGC0300	3383	696785	78073	28307445	28362341
GLRHD0743	3779	553881	64657	22298287	22327139
GLRGC0217	1100	816630	95325	32761262	32817262
GLRHD0922	1233	737958	87179	29467232	29518470
GLRHD0145	1320	781053	91594	31216593	31271019
GLRHD0765	1126	1641088	10649	34089399	34148135
GLRGC0173	1528	973024	7068	20843474	20857863
GLRHD0607	1575	1323491	8078	28515556	28568214
GLRHD0667	941	600447	71032	24161466	24201938
GLRGC0451	1558	947109	108664	37939333	37996082
GLRGC0462	2923	859140	100998	34535111	34608129
GLRGC0033	540	1158642	6858	24006734	24039952
GLRGC0310	1094	1134991	7125	22909732	22974829
GLRHD0585	2639	631760	72208	25976832	26014126
GLRBC0031	758	1146868	7756	23554209	23613105
GLRGC0286	4217	891224	103570	35763492	35798520
GLRGC0402	4407	450332	47029	18013790	18036688
GLRGC0089	6304	693797	80720	27630019	27664127
GLRHD0662	1790	1188039	7358	23833068	23885798
GLRHD0391	2094	860050	5305	18975370	19038153
GLRHD0590	2585	812997	97953	32702479	32723244
GLRGC0120	1987	848140	102457	33888735	33940860
GLRHD0351	5372	501429	56214	19663761	19704289
GLRHD0786	1795	1421183	9722	29556412	29587052
GLRHD0651	5105	515931	60942	21091330	21135001
GLRGC0010	675	656335	75569	26320261	26350816
GLRGC0293	734	982881	108527	39201763	39240959
GLRBC0024	1444	1093919	7090	22128254	22197293
GLRGC0263	1213	892926	106379	35771539	35825868
GLRGC0478	11491	727434	78394	29697104	29710000
GLRHD0716	2753	1336843	8635	27061917	27116499
GLRGC0295	1768	869083	110675	34740574	34797188
GLRHD0903	1214	568570	66510	22886803	22920342
GLRHD0759	1186	608914	72997	24493799	24514499
GLRGC0060	3593	741297	86886	28673146	28740070
GLRHD0793	6906	683254	79099	27393992	27443168
GLRGC0276	2145	1678871	11464	35072168	35135589
GLRHD0663	1283	576116	68216	22813053	22858625
GLRGC0487	1294	994576	116838	39734451	39824831
GLRGC0230	1688	1935859	13112	39114651	39185962
GLRHD0654	906	683087	81382	27632510	27669698
GLRGC0104	3081	541514	65790	21994460	22024420
GLRGC0335	900	619935	73218	25035726	25088056
