4	84670000	84880000	228.0400	0.0546	0.0000
3	7340000	7530000	227.7200	0.1455	0.0000
7	110010000	110330000	226.7400	0.1583	0.0000
1	15280000	15360000	225.5600	0.0192	0.0000
18	71010000	71530000	225.3800	0.0630	0.0000
9	30880000	30940000	225.1400	0.0488	0.0000
12	128630000	128940000	224.2200	0.0387	0.0000
6	146690000	146800000	223.9800	0.0547	0.0000
3	167300000	167430000	223.8000	0.0992	0.0000
14	40310000	40510000	223.3400	0.0661	0.0000
9	14910000	15060000	223.3000	0.1425	0.0000
3	7100000	7300000	223.2800	0.0327	0.0000
2	193930000	193990000	223.2800	0.0299	0.0000
16	410000	550000	223.2000	0.0362	0.0000
2	127800000	128530000	222.9400	0.0913	0.0000
1	185880000	186330000	222.5400	0.1177	0.0000
2	225550000	226000000	222.4400	0.1148	0.0000
13	91580000	91940000	222.3800	0.0908	0.0000
4	69530000	69600000	222.2800	0.0281	0.0000
2	187260000	187510000	222.2600	0.0233	0.0000
6	85350000	85540000	222.2000	0.1247	0.0000
7	89520000	89880000	222.1600	0.0568	0.0000
8	78380000	79200000	222.1400	0.1094	0.0000
13	108730000	109190000	222.1000	0.3619	0.0000
16	27460000	27560000	222.1000	0.0723	0.0000
12	84800000	85040000	222.0600	0.0577	0.0000
1	82410000	83070000	222.0200	0.2712	0.0000
16	52760000	53260000	221.7200	0.1323	0.0000
17	9990000	10230000	221.2800	0.0375	0.0000
3	175910000	175980000	221.2400	0.0211	0.0000
2	193330000	193480000	221.0400	0.0510	0.0000
7	88830000	89410000	220.9200	0.1724	0.0000
5	98190000	98320000	220.9200	0.0500	0.0000
4	95280000	95530000	220.8000	0.0795	0.0000
10	81160000	81440000	220.7800	0.0210	0.0000
2	57660000	57830000	220.7600	0.0854	0.0000
22	26250000	26590000	220.7600	0.0188	0.0000
6	121700000	122700000	220.7400	0.2105	0.0000
19	6190000	6630000	220.7400	0.1223	0.0000
2	204430000	204940000	220.6800	0.0779	0.0000
13	76350000	76520000	220.6800	0.0571	0.0000
5	92850000	93040000	220.6400	0.0463	0.0000
4	6390000	7350000	220.6200	0.1031	0.0000
12	120600000	120620000	220.6200	0.0243	0.0000
10	105800000	106180000	220.5200	0.1456	0.0000
2	155530000	156150000	220.2600	0.0698	0.0000
11	19190000	19330000	220.2600	0.0633	0.0000
13	36190000	36430000	220.2400	0.0853	0.0000
11	7610000	7620000	220.2000	0.0134	0.0000
14	41380000	41410000	220.0600	0.0182	0.0000
20	12810000	13000000	220.0200	0.0626	0.0000
7	11560000	11960000	219.9600	0.0558	0.0000
17	10270000	10350000	219.9400	0.0662	0.0000
11	90540000	90800000	219.8600	0.0907	0.0000
7	84450000	84560000	219.8400	0.0332	0.0000
16	57150000	58040000	219.6600	0.1295	0.0000
12	87760000	87900000	219.6000	0.0236	0.0000
9	9210000	9600000	219.5400	0.0835	0.0000
2	137630000	138000000	219.4600	0.0545	0.0000
2	223680000	223870000	219.4400	0.0634	0.0000
4	64190000	64350000	219.4200	0.1954	0.0000
3	32680000	32840000	219.3800	0.0584	0.0000
3	260000	310000	219.3600	0.0103	0.0000
15	59360000	59440000	219.3400	0.0323	0.0000
1	194970000	195050000	219.3400	0.0269	0.0000
5	43190000	43300000	219.2600	0.0111	0.0000
3	7610000	7930000	219.1200	0.0888	0.0000
1	50350000	50640000	219.1000	0.0813	0.0000
2	8080000	8240000	219.1000	0.0777	0.0000
9	124120000	124230000	219.0800	0.0381	0.0000
2	144350000	144590000	219.0400	0.1948	0.0000
2	188360000	188760000	219.0200	0.1466	0.0000
2	205220000	205940000	218.9000	0.1184	0.0000
1	213660000	214290000	218.9000	0.0954	0.0000
4	106250000	106310000	218.8800	0.0278	0.0000
12	90970000	91220000	218.8600	0.0237	0.0000
14	39600000	39610000	218.7800	0.0147	0.0000
3	164270000	164400000	218.7400	0.1217	0.0000
8	106040000	107030000	218.6800	0.1239	0.0000
8	27760000	28260000	218.6400	0.2905	0.0000
1	187770000	188160000	218.6400	0.1049	0.0000
21	26470000	26560000	218.6400	0.0257	0.0000
2	121230000	121730000	218.6000	0.0594	0.0000
7	84820000	84950000	218.6000	0.0386	0.0000
4	167010000	167160000	218.5800	0.0914	0.0000
10	124990000	125040000	218.5800	0.0302	0.0000
9	30700000	30760000	218.5800	0.0189	0.0000
2	194050000	194440000	218.5400	0.0380	0.0000
8	47540000	47840000	218.5200	0.1286	0.0000
8	105810000	105960000	218.4400	0.1135	0.0000
21	21110000	21370000	218.4400	0.0620	0.0000
1	195640000	196070000	218.4200	0.0975	0.0000
11	114220000	114270000	218.3800	0.0482	0.0000
16	69810000	69910000	218.3800	0.0195	0.0000
8	6300000	6350000	218.3800	0.0185	0.0000
6	162380000	162810000	218.3000	0.0921	0.0000
11	76200000	76430000	218.2800	0.0974	0.0000
3	95600000	95820000	218.2800	0.0315	0.0000
14	96510000	97030000	218.2400	0.1262	0.0000
14	75770000	75900000	218.1800	0.1069	0.0000
6	100980000	101120000	218.1800	0.0450	0.0000
5	180330000	180520000	218.1800	0.0440	0.0000
2	145250000	145360000	218.1600	0.0593	0.0000
1	40930000	41320000	218.1400	0.1355	0.0000
8	82850000	82890000	218.1400	0.0179	0.0000
14	40790000	40890000	218.0600	0.0438	0.0000
1	236170000	236440000	218.0000	0.1041	0.0000
4	96130000	96390000	218.0000	0.0425	0.0000
13	37620000	37730000	217.9400	0.0623	0.0000
7	66050000	66290000	217.8800	0.0880	0.0000
12	108730000	109440000	217.8800	0.0522	0.0000
2	151960000	152130000	217.8600	0.0987	0.0000
13	27560000	28470000	217.8400	0.0716	0.0000
10	64900000	65000000	217.8400	0.0522	0.0000
10	65360000	65500000	217.8400	0.0338	0.0000
7	84250000	84370000	217.8200	0.1210	0.0000
5	171320000	171990000	217.8200	0.0740	0.0000
3	171780000	172070000	217.8000	0.0310	0.0000
14	43160000	43230000	217.7600	0.0342	0.0000
17	70880000	70890000	217.7000	0.0076	0.0000
15	42410000	42820000	217.6200	0.0606	0.0000
21	36750000	36940000	217.5800	0.0323	0.0000
1	245870000	246640000	217.5400	0.2867	0.0000
12	121270000	121510000	217.4400	0.0693	0.0000
2	183290000	183420000	217.4400	0.0553	0.0000
12	116420000	116960000	217.4200	0.0449	0.0000
2	7650000	7870000	217.3000	0.0565	0.0000
10	69770000	70680000	217.2800	0.4444	0.0000
1	162460000	162600000	217.2800	0.0142	0.0000
11	36120000	36550000	217.2600	0.0707	0.0000
2	146850000	146990000	217.2400	0.0287	0.0000
