seqID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60
GLRGC0100,-20.235750097888406,11.885558402500482,-3.829790449943613,-0.6852075241307654,-0.5199715113736192,-0.3509047241504706,-0.6999335719719909,0.5639606098767665,-1.483460189169524,2.2283029472149054,0.855120522126602,-0.3540226381864417,-2.3813411067932906,-0.4676562763156183,-0.9862146432091689,0.7453711660491021,0.052029897717402636,0.3378378891714968,0.7005886232937771,-1.2753663456458206,-0.8815317965578235,0.4335902328303107,-0.4994964405705187,-0.0796188938920301,0.32183312251968754,0.7125627745839995,-1.0850977320791408,1.7427914822760178,0.9937313989988232,0.5687475725278772,0.7752940426285502,0.7656935529467265,0.931119571699232,-0.7188107176180429,-0.8846616950265341,-0.6539226476651174,0.8006063085395968,0.58682059896825,-1.4405105670165272,-0.7563370406735035,1.9244796766141177,0.1083927673968482,0.18073699047865155,-0.2132242241848698,-1.052466658000678,1.5233775638882077,-1.6699496806328133,0.05159545058435114,0.5422987822175116,-1.2514830190795856,-0.5899358341315083,1.227952381231799,1.2264424943764247,-0.6912481101212702,1.4265191516781415,1.3546151143039573,1.3369225342350115,-1.6675052138039106,0.5547301874754668,0.4191590206999869
GLRGC0127,-20.681974101566603,-6.990811745220639,3.8773845303611862,2.641093565058894,-5.534238503723454,-1.8379288073586644,-0.3863727170637235,0.9971163713350025,-2.068026278969947,-3.203430506960852,-2.4435231840495164,-0.05816307939681838,0.9427003807473462,0.8905675990915896,2.624438056363907,-2.567100411789095,-1.8455678295158258,-1.0236425806306788,2.1168417263909727,-0.36810533789514693,2.539629219644639,0.3113077165610876,0.7767651494098733,0.6475988937503652,1.2610667958599466,-1.124985601106785,1.2159994776167913,0.7250997859989681,1.564908578500974,-3.8415714326732693,-0.5462249649897812,-0.9614579274738543,1.6882442129134916,0.9859351488126379,-2.4330869397452544,-0.9339125452544248,-3.9688555518355093,2.7666381552973354,2.0503257755202347,-3.1575709311680713,-0.18658138185284506,-0.2280202174740192,-1.165408322640278,2.995013697779434,1.2173245749401895,-0.9976764451476181,-2.4687537729086535,-1.038903546859407,-1.839020444886448,2.378026799081158,1.3434910886632545,2.329292452130264,-2.4556033203522665,0.7098314500584827,0.3089336997567252,0.2937774354263581,-0.7834614999634372,-1.7789198238500263,0.6694476145167572,1.1981354998040366
GLRGC0260,4.73668296500063,19.63472996393004,-7.694352511414524,4.068920957397958,-6.213076251889048,-0.18424425167885478,1.3837291578410151,-2.6744682096061703,-8.925489375116843,1.4842093190000987,-0.5152971784393275,-0.04810631115731696,1.3333012981770604,0.5985007087918165,0.10933713643539397,4.0796970114277915,-0.38749145980485056,1.7754975481509765,2.128288926852822,-0.17460838692298095,4.147416341878643,2.3787602993972277,-2.088023558342208,-4.192516222168083,-0.8735229026280242,-0.08619076792189609,-3.3395471828940413,0.9374518438813213,-4.525097161890634,1.7965740727844242,0.7823967989376931,-1.1020146326403435,-2.3188522282228994,-0.7093475130818065,0.5799187836485035,0.2554091501726,0.8814199145668123,-1.7758976901802728,-0.691076136573547,3.4016749347174104,0.4991099896160321,-1.2100360773188559,-0.16807431128774536,-1.7825031919146577,-0.5642580695280958,1.6380709933823572,1.080674143244387,0.44207780945048014,-0.5859374917537589,1.4927314485536953,0.9758261154801559,-0.6827215143300058,0.9808099307006748,-1.1119358544761329,-1.4832933097394287,-3.848910903842396,1.6907082844829107,2.514895917094925,-3.6687397760489846,1.703084396437308
GLRHD0746,-9.649408333262594,-11.772162518687802,-5.960507781415918,-4.889017862843444,3.202259023440595,3.096230830280529,-2.003698350395194,-0.3712181008689132,-1.0717012485490598,-1.4610170204959634,0.6535324374848988,0.09979954485841024,-1.1975344766960094,1.8373931010227809,1.5369441750743174,-0.5841402930151117,-0.6889874732760572,-0.8349393169330691,-2.294033607771378,-2.9927278077791484,2.1189603403116934,2.3039244641845094,-0.21711051132801432,1.0787836876583325,0.5319257275418179,0.7888849869209328,1.3945142389855738,-1.1521222061679837,0.16664334486547672,-0.13373691569594628,3.448311039374292,-1.108820712674824,-1.652923055670575,-1.2511851827773484,-0.6984651643995269,2.0231026872768147,-1.0278295451326636,0.9705806826547586,-1.775090430499091,-0.969771486673913,-0.5576585727239208,0.5824198089329435,-1.1862742347947672,0.41420300293432727,1.1603395810836705,2.650252031025125,-0.8120505648692606,0.7146864483179558,1.3543299986576165,0.9378978435415508,0.1851591267644996,0.5281865578998659,1.9927645765797304,1.2123078536105956,-0.9167298419224702,-0.8136362051568155,-1.5881231282601893,-3.37061069203886,0.5873624968074228,-0.9386751173518296
GLRGC0122,-24.138477872214924,-7.336957940007843,4.4826238489489185,-0.8421463927772346,-0.43043789910621627,-1.4117495616172788,2.5739517426309155,-1.1124211041780063,1.980244535394714,-0.17231340509739784,-2.226315956322073,-1.826541320136713,-0.32602080413912643,-2.0420221938053116,0.43817029783528516,1.9682068606090637,0.3806246675647691,0.7870367537363094,-0.5603736265778112,1.2544507217706382,-0.23824245561072374,1.397587263190734,-0.7663541995370459,0.2497235485131889,0.6949393452008727,-0.49995338080382873,2.5152071350349954,2.104214977634399,1.3396715311735943,-3.3377638486621803,0.41463757120409417,1.634768652746013,-1.658225350414595,0.5961653889865253,1.463617632534323,-0.1960534524334228,-1.9442122979157783,1.2142948164695329,1.1201243809135595,0.9127542877348931,1.3311556043792525,-0.8092873665492422,-0.6158991094448547,1.6351472638064513,0.6123243874939065,0.6051860375435625,-0.7691739095103174,-1.7297462093448726,0.44432438529618296,-4.232118164153788,-1.2645783140191982,-1.9427445590324777,-1.8700428209550577,-2.125705648112851,2.7868383625058297,2.1443400001765758,0.3703739202274222,1.0943888716629473,0.5225216711521244,-1.0560439786667186
GLRHD0790,-0.4259639961433682,-9.806295843290268,-2.54484432890879,-7.677192044047637,3.545327444164684,-2.3372723803112407,-6.016457493459343,1.0574805910002285,-1.709209108969075,-0.7604131034387122,-3.0699206532981353,-0.4701937044830439,-1.0964248001527894,1.8223422041870279,2.885320286871662,-0.7735110242973737,0.8514000995768071,-1.762835034547743,0.6492776210776549,1.9701837284637915,0.174120998344367,-1.4193788908264027,0.9725658760274408,2.9140988106615997,1.890900039383103,-0.344266482223133,-1.5782538281098373,-0.39139094980718625,-1.0217930081076587,-1.3632943735628071,0.666104475556673,-0.9892884121972637,1.3762249320948863,0.9608992804356562,0.8678925652316923,0.7607782761437611,0.6367863859521654,-2.5630739800171525,0.2212065980659647,0.18123647864958184,-3.908488723709589,1.2865633531184402,-1.4870843845061061,-0.45389524408804244,-1.2540048006679911,3.3970726841845997,-0.010995082504241088,0.7175468137273016,-1.0805049872066643,-1.6490470683102616,-2.3826367201560035,-0.1585537956317348,0.2786007334802295,3.993686642231037,-0.3222568576510789,0.4401850066776339,2.7264875575053757,-2.703155381724492,2.121225697349101,2.664656558326114
GLRGC0256,-12.805958447979787,4.172164060252569,-0.8154616364895034,-2.3887018581297106,-1.2894720125285208,-1.4968916012732274,-4.600523843953659,0.08193881408357548,-0.09740983692062902,3.209972210722387,-2.6011619912501804,0.06155882183461,-1.1584038494618039,2.36810015096238,1.301461163882415,-0.9931235490237713,-0.9487668846683994,0.8098101896963003,-1.499885630421462,3.534840592777244,-0.25742585816097363,-1.5539806644992087,-5.488982721168999,0.5499952708548126,2.1723486459554624,-2.226339252419417,-1.1281630071199256,0.6731786718157119,0.14792747281710042,-0.22541132584257065,-2.971966215064341,1.8094120819201984,0.8994599264733145,-0.1501575316712925,-2.5167660607827047,3.2211318571452408,3.1020906947708604,-0.279863567769025,-3.439136131950598,2.655269507144413,0.2485680583825806,-3.685000527179754,-0.1255851623872643,-0.8042754456562878,-0.4637841218968907,-0.5117842682073547,0.14350175793367353,-0.3069386598778328,-2.723916344509771,-1.3525672282197365,-0.2904670516147504,0.9172322527975404,3.2244872313662074,-2.148015510295031,-1.6571966388057642,2.0134234133037556,-2.518682208774014,0.48785726499364046,2.7726039252642054,3.062915374836087
GLRGC0274,7.858578452199428,-4.358534009594992,-3.835526782279665,-4.299327708278424,-6.428573867163311,-2.370371798950428,1.6044484775379904,-1.8423214160316836,-0.031961856744384926,3.2521604923569503,-0.9245808866603857,0.027606852537593853,-0.8753426195636259,-0.8635948257985708,-1.153361636181225,0.415696889436403,-1.6984296742501255,3.363022236557827,2.1513982846050994,-0.9548323767464958,0.1503754583690532,-0.5853193204595293,2.4805622280925976,0.636300551108192,2.2060098220202247,-0.861669468611903,1.6664076955682776,0.21097853518602314,0.24036831121643204,1.744299654738512,-1.3622751813184337,1.3370579159727007,1.280774334608907,-0.45522959776365624,-0.7437025145838763,0.3436977421914463,-0.8192910882191665,-2.2900914136968815,1.058599773962028,-1.7591073707653788,-3.81499887028009,-1.2251726267130578,-0.14858897448024133,-1.1927129679273796,1.651828325928895,1.471345313943508,1.674851823433153,1.5708601319664641,1.249876435673526,2.3654851650147317,2.327850091726068,-0.09217621165972788,3.6979595702814967,0.1198859369933598,1.457660422713162,2.3749680083434734,-4.216640859258582,-1.628372681053736,-0.16350527183080468,-3.404446355311028
GLRGC0017,-28.87167713343991,4.003490259585148,1.082889696524976,-5.912881332233005,-1.2291943656264617,-0.077016905333545,-2.9798483417631965,0.0924166155698905,1.2983627805160445,3.3825183924587288,-0.173667283415916,1.7763825194620615,-1.81366075483777,1.1866110911972856,-0.35625458498884754,-1.376049346902217,-1.585691957252582,-0.277991718685378,0.9730950317847642,1.6862310098813968,-0.7119227308020255,0.4873585775629984,-0.6295966047942335,-0.2295208883337605,-1.587878941590105,0.20920208827685824,1.309956568094702,1.2151010869260515,-2.1271045630793015,-0.26560080599643493,0.7627002711315396,1.7781480101003786,0.09532651499426412,-0.3120037767983344,1.2661782457721051,0.7928228616972267,-0.21977778351614544,0.5787748885975681,-0.4467648063522676,0.6251086628577259,0.32293010843202785,1.124670337482278,-0.2227977951451469,-0.46473942726269774,1.4976782932495272,-0.39768171287591675,-1.3485411334452257,0.3420060629165134,2.089389272901731,1.1540352980747113,-1.1730843851979018,-0.5377321051436804,-0.1635004514098137,3.6059156627570856,2.1633010437970754,-1.4260237103854987,0.11514850138093216,0.2722266547167704,-0.10079257573812725,-1.2942158962550274
GLRGC0165,0.43263427339531857,7.389328704920258,1.7263666997046647,-1.5530766947817762,4.6461222817520715,1.8587715274946732,-0.8766893423566137,0.10336397527552979,0.615063518239305,2.8543922176071437,1.1442473400303201,-2.1744475961816683,-1.1392211281971965,-0.7641209367038769,0.5684150265725144,-0.7848684514209996,-1.2346593436852824,2.0680334343138407,-0.18641950159309023,-2.336091831406193,-1.0465248284589597,1.193330232348279,2.1735692571794174,2.310198851546992,-0.36675593297078807,-1.3799506899107652,2.0665752210588555,0.9905116976151636,-0.46499320743369804,-0.7279134133346453,-3.251340958580877,1.9368493715261526,-1.5402981653401788,4.349935607356385,-2.576521249737392,2.111482614992802,1.278790760362382,2.2321122157599103,0.8285823914416584,0.6025836824734037,1.2762152307614212,3.345022918301387,0.8412789879835385,0.1251775480144438,-0.8140345342428748,-0.083410607672667,2.956948656929834,0.4705836698503378,-1.111138153824717,-1.0404712193154149,0.9767371908784942,0.2939089108942054,-2.206719332581651,-1.0852320057227929,-2.493370217687565,1.4357605454558853,-0.04427796035344661,1.3637038124100735,-3.133268825004226,-0.6458290047159269
